movieid,title,year,director,actor1,actor2,actor3,actor4,actor5,plot
296,Pulp Fiction,1994,Quentin Tarantino,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption"
356,Forrest Gump,1994,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Michael Connor Humphreys,"Forrest Gump, a man with a low I.Q., joins the army for service where he meets Dan and Bubba. However, he cannot stop thinking about his childhood sweetheart Jenny Curran, whose life is messed up."
318,"Shawshank Redemption, The",1994,Frank Darabont,Morgan Freeman,Tim Robbins,Bob Gunton,Clancy Brown,James Whitmore,"Andy Dufresne, a successful banker, is arrested for the murders of his wife and her lover, and is sentenced to life imprisonment at the Shawshank prison. He becomes the most unconventional prisoner."
593,"Silence of the Lambs, The",1991,Jonathan Demme,Anthony Hopkins,Jodie Foster,Ted Levine,Scott Glenn,Kasi Lemmons,"Clarice Starling, an FBI agent, seeks help from Hannibal Lecter, a psychopathic serial killer and former psychiatrist, in order to apprehend another serial killer who has been claiming female victims."
480,Jurassic Park,1993,Steven Spielberg,Jeff Goldblum,Sam Neill,Laura Dern,Ariana Richards,Richard Attenborough,"A joyride at a wildlife amusement park, which contains cloned dinosaurs, soon becomes a horrifying experience when a power breakdown afflicts the park and the dinosaurs begin to react violently."
260,Star Wars: Episode IV - A New Hope,1977,George Lucas,Harrison Ford,Carrie Fisher,Mark Hamill,Peter Mayhew,Anthony Daniels,"Princess Leia is kidnapped by the sinister Darth Vader. It is now up to Luke Skywalker, an adventurous farm boy and the rebel forces to rescue her and save the Empire."
110,Braveheart,1995,Mel Gibson,Mel Gibson,Sophie Marceau,Catherine McCormack,Patrick McGoohan,Mhairi Calvey,"William Wallace, a Scottish rebel, sets out to battle an English tyrant who killed his wife a day after their marriage."
589,Terminator 2: Judgment Day,1991,James Cameron,Arnold Schwarzenegger,Edward Furlong,Linda Hamilton,Robert Patrick,Earl Boen,"A future terminator is set on a mission to kill Sarah's son, John Connor. A cyborg, who once was after the life of Sarah, has been assigned to protect both mother and the son."
2571,"Matrix, The",1999,,Keanu Reeves,Carrieâ€‘Anne Moss,Laurence Fishburne,Hugo Weaving,Joe Pantoliano,"Thomas, a computer programmer, is led to fight an underground war against powerful computers who now rule the world with a system called 'The Matrix'."
527,Schindler's List,1993,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Embeth Davidtz,Caroline Goodall,"Oskar Schindler, a German industrialist and member of the Nazi party, tries to save his Jewish employees after witnessing the persecution of Jews in Poland."
1,Toy Story,1995,John Lasseter,Sheriff Woody,Buzz Lightyear,Mr. Potato Head,Andy's Mom,Slinky Dog,"Andy's favourite toy, Woody, is worried that after Andy receives his birthday gift, a new toy called Buzz Lightyear, his importance may get reduced. He thus hatches a plan to eliminate Buzz."
457,"Fugitive, The",1993,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Jeroen KrabbÃ©,Dr. Richard Kimble is falsely charged of killing his wife. He escapes from prison but is pursued by Samuel Gerard. He soon realises that he cannot trust anybody.
150,Apollo 13,1995,Ron Howard,Tom Hanks,Kevin Bacon,Bill Paxton,Ed Harris,Gary Sinise,"Astronauts Lovell, Haise and Swigert are on a mission to the moon. However, halfway through their journey, a technical glitch forces them to return to Earth."
780,Independence Day ,1996,,,,,,,
50,"Usual Suspects, The",1995,Bryan Singer,Kevin Spacey,Benicio del Toro,Gabriel Byrne,Stephen Baldwin,Kevin Pollak,"Five criminals meet during a routine police line-up. Upon their release, they plan to pull off a dangerous heist involving precious emeralds worth three million dollars."
1210,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,Harrison Ford,Carrie Fisher,Mark Hamill,Peter Mayhew,Anthony Daniels,Luke Skywalker attempts to bring his father back to the light side of the 'Force' while the rebels hatch a plan to destroy the second Death Star.
592,Batman,1989,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,Michael Gough,Billy Dee Williams,"Batman, a dark knight from Gotham City, helps to defeat evil and keep its citizens safe. Jack Napier turns into the Joker and promises to take over Gotham City. Can Batman nip his plans in the bud?"
1196,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Harrison Ford,Mark Hamill,Carrie Fisher,Peter Mayhew,Anthony Daniels,"Darth Vader returns with a vengeance, adamant on turning Skywalker to the dark side.  Master Yoda is training Luke to become a Jedi Knight while his friends are trying to fend off the Imperial fleet."
